gene	p	fdr
ZNF618	1	1
DRP2	1	1
ANAPC10	0.0243191033493155	0.107011630781645
FPGT	1	1
MS4A2	1	1
AIF1	1	1
GAS2L2	1	1
POLB	1	1
PDIA6	0.00621059241822218	0.044718673873894
ARHGEF6	0.0273463788783307	0.113694644547559
ACSM5	1	1
NLRP8	1	1
PRAMEF1	1	1
GLDN	1	1
FAM60A	1	1
PLXNA2	0.0365734003386863	0.130505381520583
WRAP73	1	1
OR1C1	1	1
RBM38	8.08366968148019e-05	0.00172741050303945
LGR6	1	1
SUSD5	1	1
RDH12	0.000389703463649559	0.00550900686259895
ZNF772	1	1
CRYBB3	1	1
DAAM1	1	1
ZBTB39	1	1
PALLD	1	1
NUDCD1	1	1
POMP	1	1
LMOD3	0.0499840684494851	0.149708432325907
MYH7	2.04777832489729e-13	1.03303102997051e-10
CYFIP1	0.0124713710387692	0.0736183619988491
PRPF18	1	1
USP42	0.000343151443268335	0.00502802296282701
ANKS1B	1	1
THOC2	1	1
LRRTM4	1	1
PSPC1	0.0418414021403465	0.139421987551874
AGTPBP1	1	1
PPP2R3A	0.0374109030330805	0.131986024277685
LURAP1L	1	1
PER2	0.0286056948803789	0.116250898399324
ZNF721	0.000224112397075496	0.00371547841395703
BDH1	7.25255557097058e-05	0.00160820011679685
RELT	0.0338030230678024	0.125814940930885
PARP12	1	1
VRK1	1	1
MOXD1	1	1
GRHL3	1	1
PURA	1	1
PHLDB1	1	1
EPHA1	1	1
ALG3	1	1
SPP1	1	1
UNC45A	1	1
ARID2	1	1
DPY19L1	1	1
TROVE2	1	1
NEU3	1	1
BMP5	1	1
DLC1	0.0459233662237519	0.14454857807503
IL17RA	0.00376233160676869	0.0304195386065299
RIC8A	1	1
PIP5K1B	0.0186360073772171	0.0928513595072988
TKTL2	1	1
CENPN	1	1
TNIP1	1	1
QTRT1	0.000692964355929227	0.00840903911297279
PROX1	0.00552119058140554	0.0409033172486028
TSNAXIP1	1	1
RNF17	1	1
NLRP11	1	1
MECOM	1	1
NPC1L1	1	1
TLR2	1	1
ACO2	1	1
PANK3	1	1
ATRX	1.28348853615286e-06	7.16572157041866e-05
CIITA	1	1
EIF5A2	0.00502883072295469	0.038025821178659
HDAC9	1	1
SMG1	0.000718357341014547	0.00864236049949543
ZNF382	0.0299967829279786	0.118718004723367
USP35	1	1
GPALPP1	0.00324600311327898	0.0270659940820931
SEC22A	1	1
AP4E1	0.00233048696201129	0.0205738302115059
OR2T35	1	1
CFAP206	1	1
ABCG5	1	1
RALY	0.0452162311292892	0.143814290633013
IQCC	1	1
PTGER4	0.00372238500822916	0.0301420752243895
TEX11	1	1
SEC16B	1	1
GRIA1	0.0153667936707323	0.0839674895934597
BRD2	1	1
HNRNPK	1	1
CDKN1B	1	1
PCYOX1	1	1
PLCXD2	1	1
KEL	0.00394240567236194	0.0314790729915841
MFAP1	0.00463264163949686	0.0357183750861862
CD109	1	1
RASGRP2	0.0256777970600372	0.110075533679219
ALOX15	1	1
POMC	1	1
TRIP11	1	1
ZNF136	0.00099559470779191	0.011038285123674
CD3E	1	1
FBXO28	1	1
TAF1D	0.0305665196104365	0.119851205223282
MBOAT7	1	1
ZNF711	1	1
TMEM150C	1	1
KLB	1	1
RASGRF1	1	1
DNM1L	0.0273641591516475	0.11371543042572
PSD2	1	1
TLL2	1	1
PGAM4	1	1
NFATC3	0.00233732830807689	0.0206213381334079
ASIC3	1	1
DAB2	0.00459681103336234	0.0355585738478878
WDR6	0.00421094148390979	0.0332287980224725
ARHGAP6	1	1
SLC25A30	1	1
FAM13A	1	1
CRB2	0.0486236703168187	0.148112571232767
SSPO	1	1
PCDHAC1	0.0107167747779915	0.0663496856698833
ANTXR2	0.0268288656032874	0.112483741955012
CGGBP1	1	1
REM1	1	1
DNAJA1	0.0200483690454096	0.0966165857271959
TNFAIP1	1	1
FARSB	0.0243716276306911	0.107175977672326
PLIN3	1	1
PTPRU	1	1
TMEM214	1	1
MYO5C	1	1
POTEE	7.31500005824978e-11	1.78145475556514e-08
ICE1	1	1
SIX4	1	1
PRTG	0.0119316631254429	0.071466875363687
WAC	1	1
CCP110	0.0360769284979339	0.129744080223022
ABCG8	1	1
APC	0.0007932506702296	0.00930620076162218
FAM91A1	0.0362732830810017	0.130106684489373
CALML5	1	1
PEX3	1	1
RC3H2	0.0261908115753621	0.111439659655217
AGXT2	1	1
CCDC57	1	1
PLEKHF1	1	1
FAIM2	1	1
NDUFA10	1	1
SUPT16H	4.01283740633922e-05	0.00102683565877792
IFT88	0.0439028048438172	0.142180621946442
STX18	0.0388495448430054	0.134332054543666
SEC14L1	1	1
GBP1	1	1
ZNF182	0.0212281901910466	0.100015829788506
PYGM	1.56805880612012e-05	0.000495499566810889
MUC4	1	1
FHL3	0.0356992374646514	0.129025541482224
PCNT	1.0264376648551e-09	1.90768842316819e-07
NMRK1	1	1
ATP8B4	0.0234363299365435	0.104995654165212
ACSS3	1	1
MDN1	2.68728979122054e-10	6.21389735980899e-08
CADM1	1	1
FBXO41	0.0105750843044959	0.0658031126876669
FAM120A	0.00024987032078144	0.00401983858888137
UBE4B	1	1
FADS3	0.0230056712843475	0.104317829740258
SLC4A1	1	1
TTC27	0.0135926921995804	0.0773245176476331
SP8	1	1
ACHE	1	1
CSNK1A1L	1	1
FCHSD2	0.0266099279291126	0.112225282314546
THADA	1	1
CES1	1	1
SYBU	5.62625638080794e-07	3.79653824290467e-05
ZNF594	1	1
SRI	0.0111465854468652	0.0681201220347702
YTHDF1	1	1
TRPC3	0.0365186982699781	0.130420476879262
RCBTB1	1	1
P2RY8	0.000791096430590033	0.00929637028459585
SIL1	1	1
OXNAD1	1	1
HSH2D	0.000191039388464077	0.00331095872644796
LRRN2	0.0269790487844208	0.112837145071104
ZNF140	0.00548882308676751	0.0406979664570032
SPINK1	1	1
SSTR3	0.00260132823705598	0.0225145596497645
ZNF585B	1	1
ZXDC	1	1
ZNF470	1	1
OR7G3	0.00960218488016865	0.0615105947539148
SATB2	1	1
ZBTB21	0.040519195411812	0.137547136551753
TM2D3	1	1
IMMT	1	1
RAB6C	1	1
SLCO1B3	0.049595622681857	0.149336638324713
ABCC2	0.0140436761813998	0.0787170341516955
DDX53	1	1
SBNO1	0.0489390855340223	0.14846045596361
NOL10	0.00796265934693028	0.0537118258239686
ZNF430	1	1
GNA15	0.029168807379636	0.11718957757494
LIG4	1	1
SHPRH	0.0398878112361871	0.136453217173926
OR5T1	1	1
ZNF556	0.0150715375132755	0.0826739679126276
ATL1	1	1
SAE1	1	1
ZNF540	1	1
ZNF749	1	1
ADGRF2	0.0495906546387654	0.149336638324713
RAB11A	1	1
FNDC1	0.00462992534776611	0.0357169282016364
SOX13	3.28533268815499e-06	0.000150666637078537
DUSP5	1	1
OR2T2	1	1
CHD3	1	1
NOBOX	0.00259380448877577	0.0224632056431378
RASEF	1	1
MPLKIP	1	1
EDDM3B	1	1
RBPJL	1	1
GMPPA	0.0141756165990228	0.0791510224764608
EFTUD2	0.0119993453658892	0.0717573045271738
POU2AF1	1	1
CNR1	1	1
